# Type|value pairs for GPU virtualization detection.
# Comments and blank lines ignored.
RENDERER|Android Emulator (Emulated)
RENDERER|Bluestacks
RENDERER|Genymotion
RENDERER|VirtualBox Graphics Adapter
RENDERER|ANGLE (Google Inc.)
RENDERER|SwiftShader
RENDERER|Google Play Games on PC
VENDOR|Bluestacks
VENDOR|Genymobile
VENDOR|Google Inc.
VENDOR|Mesa/X.org
VENDOR|VirtualBox
EXTENSION|GL_ARB_vertex_program
EXTENSION|GL_ARB_fragment_program
EXTENSION|GL_ARB_shader_objects
EXTENSION|GL_EXT_texture_filter_anisotropic_desktop
EGL_VENDOR|Android
EGL_VENDOR|Google
EGL_VENDOR|Bluestacks
EGL_VENDOR|Genymotion
